Name,Link
obama,http://millercenter.org/president/obama/speeches/remarks-on-education-and-the-economy
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-syria
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-syria
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-syria
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-syria
obama,http://millercenter.org/president/obama/speeches/speech-on-economic-mobility
obama,http://millercenter.org/president/obama/speeches/speech-on-economic-mobility
obama,http://millercenter.org/president/obama/speeches/speech-on-economic-mobility
obama,http://millercenter.org/president/obama/speeches/speech-on-economic-mobility
obama,http://millercenter.org/president/obama/speeches/2014-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2014-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2014-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2014-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-immigration
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-immigration
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-immigration
obama,http://millercenter.org/president/obama/speeches/address-to-the-nation-on-immigration
obama,http://millercenter.org/president/obama/speeches/2015-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2015-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2015-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2015-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/remarks-at-the-50th-anniversary-of-the-selma-marches
obama,http://millercenter.org/president/obama/speeches/remarks-at-the-50th-anniversary-of-the-selma-marches
obama,http://millercenter.org/president/obama/speeches/remarks-at-the-50th-anniversary-of-the-selma-marches
obama,http://millercenter.org/president/obama/speeches/remarks-at-the-50th-anniversary-of-the-selma-marches
obama,http://millercenter.org/president/obama/speeches/remarks-in-eulogy-for-the-honorable-reverend-clementa-pickney
obama,http://millercenter.org/president/obama/speeches/remarks-in-eulogy-for-the-honorable-reverend-clementa-pickney
obama,http://millercenter.org/president/obama/speeches/remarks-in-eulogy-for-the-honorable-reverend-clementa-pickney
obama,http://millercenter.org/president/obama/speeches/remarks-in-eulogy-for-the-honorable-reverend-clementa-pickney
obama,http://millercenter.org/president/obama/speeches/2016-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2016-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2016-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2016-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/remarks-to-the-people-of-cuba
obama,http://millercenter.org/president/obama/speeches/remarks-to-the-people-of-cuba
obama,http://millercenter.org/president/obama/speeches/remarks-to-the-people-of-cuba
obama,http://millercenter.org/president/obama/speeches/remarks-to-the-people-of-cuba
obama,http://millercenter.org/president/obama/speeches/commencement-address-at-rutgers-university
obama,http://millercenter.org/president/obama/speeches/commencement-address-at-rutgers-university
obama,http://millercenter.org/president/obama/speeches/commencement-address-at-rutgers-university
obama,http://millercenter.org/president/obama/speeches/commencement-address-at-rutgers-university
gwbush,http://millercenter.org/president/gwbush/speeches/speech-3645
gwbush,http://millercenter.org/president/gwbush/speeches/speech-3645
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-faith-based-and-community-initiatives
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-faith-based-and-community-initiatives
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-faith-based-and-community-initiatives
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-faith-based-and-community-initiatives
gwbush,http://millercenter.org/president/gwbush/speeches/proposal-for-global-fund-to-fight-hiv-aids-malaria-and-tuberculosis
gwbush,http://millercenter.org/president/gwbush/speeches/proposal-for-global-fund-to-fight-hiv-aids-malaria-and-tuberculosis
gwbush,http://millercenter.org/president/gwbush/speeches/proposal-for-global-fund-to-fight-hiv-aids-malaria-and-tuberculosis
gwbush,http://millercenter.org/president/gwbush/speeches/proposal-for-global-fund-to-fight-hiv-aids-malaria-and-tuberculosis
